epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3178.78,0.50282,0.34075,0.84137,1,0.94076,0.97887,0.82732,0.65973,0.36804,0.89964,0.0002378,0.0002378,0.0002378
91,3211.89,0.48572,0.32532,0.82211,1,0.94074,0.97812,0.82223,0.66544,0.37756,0.90365,0.000218,0.000218,0.000218
92,3244.48,0.46963,0.30571,0.8229,1,0.9404,0.97887,0.83289,0.65531,0.3679,0.90231,0.0001982,0.0001982,0.0001982
93,3277.13,0.45053,0.30534,0.8136,1,0.94102,0.97837,0.83156,0.63252,0.36574,0.89825,0.0001784,0.0001784,0.0001784
94,3309.7,0.44748,0.29608,0.8273,1,0.94097,0.97863,0.83015,0.63531,0.36828,0.89868,0.0001586,0.0001586,0.0001586
95,3342.25,0.46163,0.29806,0.81094,0.96421,0.93986,0.96819,0.82487,0.64886,0.37091,0.90607,0.0001388,0.0001388,0.0001388
96,3374.81,0.45377,0.30308,0.83038,0.96453,0.94855,0.96772,0.82287,0.64082,0.37037,0.90571,0.000119,0.000119,0.000119
97,3407.49,0.45062,0.28997,0.83909,0.99818,0.93023,0.97665,0.82821,0.63973,0.36399,0.90477,9.92e-05,9.92e-05,9.92e-05
98,3439.97,0.43419,0.29373,0.83885,0.97614,0.95132,0.97572,0.82358,0.6533,0.36472,0.90931,7.94e-05,7.94e-05,7.94e-05
99,3472.49,0.47899,0.30545,0.83703,1,0.9415,0.97699,0.81938,0.65602,0.36306,0.90911,5.96e-05,5.96e-05,5.96e-05
100,3505.08,0.43277,0.28897,0.82046,0.99931,0.94186,0.9772,0.82212,0.65031,0.3602,0.90682,3.98e-05,3.98e-05,3.98e-05
